Spp;X;XI;XII;I;II;III;IV;V;VI;VII;VIII;IX
Trichodesniium Thiebautii;;;;;;;3;;3;;;
Dictyocha fibula;;5;5;;20;;;;;;;
Distephanus speculum;;7;9;11;70;;6;;;;1;36
Prorocentrum micans;;11;30;41;40;43;37;7;89;2;3;
Phalacroma  rotundatum;;2;4;11;3;1;2;1;1;;;
Dinophysis acuta;;13;30;225;;138;100;5;172;102;145;36
Dinpphysis caudata;;7;195;121;;7;15;9;84;99;155;195
Dinophysis otras especies;;2;21;11;41;8;51;;29;4;3;3
Peridinium claudicans;2;9;;;166;2;;9;4;18;;
P. cpnicum+pentagonum;4;18;55;16;290;43;46;176;35;13;2;18
P. crassipes curtipes;2;2;;;;;1;2;3;4;2;1
Peridinium depressum;57;143;25;16;;11;3;3;5;13;23;3
Peridinium diabolus;33;139;360;341;166;102;216;315;165;98;54;70
P. divergens+Brochi;3;99;178;143;41;11;102;70;280;98;72;53
Peridinium leonis;;2;9;11;;69;2;2;;;;
Peridinium Marielebourae;;;;;;;1;2;3;;1;
Peridinium oblongum;;;;;;99;9;42;8;18;2;1
Peridinium quarnerense;;;;;41;38;7;;3;;;
Peridinium  Steinii;;;;22;;;3;2;4;;10;
P subinerme+punct.;2;8;5;3;;72;2;;;19;;
Peridinium trochoideum;5;;;;;;;2;;4;1;55
Peridinium otras especies;;11;;;;3;6;2;2;2;8;
Peridiniopsis asymmetrica;;2;;11;41;2;;7;112;185;23;4
Gonyaulax polyedra;;2;13;11;;8;5;;5;9;34;175
Gonyaulax otras especies;;;4;5;;2;3;3;3;99;3;
Ceratium azoricum;;;;;;;7;;3;;1;
Ceratium buceros;;2;;;;2;;2;18;4;21;
Ceratium furca;380;365;34;33;166;300;129;143;58;105;395;260
Ceratium fusus;352;140;25;5;;109;222;42;5;4;44;19
Ceratium minutum;;;;;;;18;42;5;;1;
Ceratium tripos;162;14;8;5;;;;;;13;13;23
Ceratium  otras especies;;4;4;;;;3;7;13;2;;
Goniodoma varias especies;;;;;;10;5;5;;;1;
 Otras dinoflageladas;2;7;;;;;1;4;;1;1;
Halosphaera viridis;;;;;;3;5;2;;;1;1
Stephanopyxis palmeriana;;29;11;30;11;207;2;;;2;;
Sceletonema costatum;2;995;255;;207;;;106;28;18;17;
Thalassiosira rotula;29;5;341;25000;33;4;2;99;1;226;;
Coscinodiscus excentricus;2;9;9;22;83;;;;;;1;3
Coscinodiscus Granii;5;180;858;242;83;;2;2;;;1;3
Coscinodiscus otras especies;;5;21;11;125;3;2;2;3;;;4
Lauderia borealis;;;17;5;3300;100;;;;4;2;56
Schroederella delicatula;189;680;9;5;41;;;4;4;13;;1
Leptocylindrus danicus;;44;;;;;;4;3;107;52;56
Guinardia flaccida;;;4;5;;3;129;7;3;9;2;140
Rhizonsolenia alata;;;;;;;246;4;5;187;24;142
Rh. hebetata semispina;4;;;;;;;2;88;3;57;
Rh. imbricata Shrubsolei;;;;;;2;;;;4;10;70
Rhizonsolenia obusta;9;13;17;38;83;2;;;;1;1;
Rhizonsolenia Stolterfothii;4;;;;3;35;;2;;11;17;
Rhizonsolenia styliformis;;7;13;;41;;5;;2;14;2;1
Rhizonsolenia otraas especies;;;;;;;3;;2;;;
Bacteriastrum hyalinum;54;9;29;121;4150;40;;;;630;1;
Chaetoceros brevis;3;;;;;;4;30;355;1;;
Chaetoceros compressus;;;;;166;;;1;5;12;;
Chaetoceros curvisetus+pseudocurvisetus;3;56;;110;2500;3;;7;;355;73;
Chaetoeeros densus;;;;;125;3;5;;;;;105
Chaetoceros decipiens;;5;25;110;1750;5;;7;;9;1;1
Chaetoceros didymus;;15;9;22;2500;3;;60;5;;1;
Chaetoceros laciniosus;;;;;41;;;175;28;;;
Chaetoceros radians+sociale;3200;66;;;28;1250;11;195;;;;
Chaetoceros otras especies;;13;4;22;;3;2;2;33;89;10;17
Eucampia zoodiacus;5;47;;;;;7;2;;19;1;21
Biddulphia mobiliensis;2;15;13;16;166;;;;;;;
Biddulphia otras especies;;2;;;;2;;;4;;;
Rhabdanema+Striatella+Grammatophora;2;2;8;9;3;4;1;;;;;
Thalassionema nitzschioides;13;9;913;;2;245;3;4;;;;
Nitzschia seriata;29;94;9;913;36;66;38;;27;12;105;
Nitzschia delicatissima;;;;;;;;;;35;11;105
Nitzschia longissima+closterium;3;;;;;5;;;;14;32;
Otras diatomeas;4;7;13;33;249;2;7;;5;9;2;7
